id,priority,phase,task,status,goal_setpoint,acceptance,boundary,evidence,dependencies,risk,notes
TODO-020,P0,Evidence,IDA MCP 旧线筋/弧筋链补证据,done,把 sgroupbarline / sgroupbararc / sub_1405D5670 关键调用链补到可开发级,若 IDA MCP 可用，记录函数、调用、常量、参数语义；若不可用，记录 blocked 原因,只读 IDA；不改代码,03_IDA命令证据.md；15_线配筋与弧形组专项初稿.md；16_seg_steelbargroup字段地图初稿.md；56_M1-App-019LegacyCommandContractP1实现记录.md,TODO-019,IDA MCP 可能无数据库绑定,TODO-020 已完成；IDA MCP 成功打开 VisualTS.exe.i64；新增 E-IDA-022；确认线筋/弧筋公共链、split/spline/trim/min-distance/backup 写回规则；仍保留 UI 流程、第 4 个 double 来源和对象业务名 GAP。
TODO-021,P1,M1-App-020,旧线筋 / 弧筋创建算法 P0 版本,done,按旧证据实现第一批业务层创建 SteelBarGroup，不直接依赖 OCCT,输入 Legacy refs 和参数，输出 domain SteelBarGroup；单测覆盖直线、弧线、短边拒绝、阈值拒绝,domain/rebar 只能依赖 legacy geometry interface；禁止直接 OCCT,TODO-020 证据；TODO-018 模型；TODO-010~013 adapter,TODO-018;TODO-020,没有 golden 时只能验证结构和阈值,M1-App-020 已完成；新增 RebarGroupCreator / LegacyRebarGeometryReader / SegmentCurveNormalizer P0 请求；CTest 10/10 pass；readiness 78/78 pass；domain/rebar 无 OCCT 泄漏；仍不声明完整旧 UI/golden。
TODO-022,P1,M1-App-021,AIS 钢筋显示映射,done,把 domain SteelBarGroup 渲染到 OCCT AIS 显示，但不把显示逻辑反向污染业务,新增 presentation adapter；viewer 可显示线筋/弧筋；CTest 不弹窗；手动 smoke 可选,presentation/occ 可用 AIS；domain 不知道 AIS,M1-App-002；M1-App-003；TODO-021,TODO-021,OpenGL 弹窗空白影响自动测试,M1-App-021 已完成；E-DEV-045；新增 RebarAisPresentationAdapter / rebar_ais_presentation_tests；CTest 11/11 pass；readiness 78/78 pass；domain/rebar 无 AIS/OCCT 泄漏；xhigh allow_commit；不声明旧 HOOPS 显示 1:1 或 UI handler 已接通。
TODO-023,P1,M1-App-022,新设计文件格式 runtime P1,done,把 tsrebar 保存/读取接入正式 app，结合 SFL 业务语义和 OCCT geometryRef,保存 STEP 来源、selection-v1 refs、rebar groups、binding、evidence；validator 通过；Save/Open gate pass,项目格式和 IO；不兼容父目录旧格式为主线,18/24/26/32/33 文档；E-DEV-022；E-DEV-046,TODO-018,binding 失效和几何引用漂移,M1-App-022 已完成；新增 TsRebarProjectRuntime / project_runtime_tests；CTest 12/12 pass；runtime 导出包 validator warning-only / 0 error；相对 packagePath 导出不挂住；save-open-save 不丢 unresolved fields；安装失败保持 dirty 并清理临时目录；candidate hash 预计算避免替换后 hash 失败；readiness 78/78 pass；xhigh round5 allow_commit；不声明完整 UI Save/Open、Detail writer 或旧 SFL 兼容。
TODO-024,P1,M1-App-023,DetailWriter P1 接入 domain rebar,done,把 domain 钢筋组映射为 Detail.xml + DetailNN.stl 首批字段,writer 单测覆盖 groupID/rsdID/stbNum/StbGeo/StbTable 关键映射；失败回滚；报告更新,drawing/export 层；不要求 AutoCAD L2 通过,05_Detail工程图包证据.md；13_Detail字段映射矩阵.md；20_DetailWriter输出事务契约.md,TODO-018;TODO-021,AutoCAD 动态导入仍需后验,M1-App-023 已完成；DetailWriter P1 可输出 Detail.xml + Detail01.stl 首批字段；CTest 13/13 pass；readiness 78/78 pass；domain/rebar + drawing + project OCCT 边界 pass；MaterialTable 质量公式 deferred；不声明 AutoCAD L2。
TODO-025,P1,Evidence,旧图石输出钢筋 STP 样本入库验证,done,把 123.stp 作为旧图石钢筋几何 witness，形成可重复 import 统计,记录 hash、solids/faces/edges/vertices/unit；新增或更新样本报告；可选 STEP selection gate,只读样本；不把 STP 当完整业务真相,123.stp；04_SFL样本证据.md；31_STEP选择ID实际运行记录模板与样本清单.md,none,STP 只有几何，没有旧参数和命令历史,TODO-025 已完成；E-DEV-048；m1_app_024_run_001；CTest 13/13 pass；readiness 78/78 pass；123.stp 固定为旧图石钢筋几何 witness；不声明旧业务算法或新系统可生成同样几何。
TODO-026,P2,Golden,旧图石运行 golden 采集方案,pending,等用户愿意采集时，按 6 个 SFL 和 STP/Detail 输出闭合行为证据,形成截图、操作步骤、输出文件、hash、导入统计；更新 12 和 99,需要用户运行旧图石；不阻塞当前 adapter 开发,6 个 SFL；运行确认日志；输出钢筋 STP,TODO-025,人工操作成本高,用户说 golden 先不要，所以保持 P2
TODO-027,P1,M2-UI,旧 UI 功能入口 1:1 复刻 P1,done,新 UI 可以更好看，但功能入口、命令、参数和状态按旧图石对齐,首批菜单/页签/按钮/状态栏可追溯；不确定项进入 GAP；UI smoke pass,Qt6 UI；不改业务算法,01/02/17/35 文档；用户菜单图片,TODO-019,缺旧弹窗参数截图,M2-UI-001 已完成；17 矩阵一期入口已接入 CommandId / LegacyUiCommandMap / CommandRegistry / Qt6 QAction；tsrebar_app --smoke 校验 QAction 追溯 metadata；xhigh allow_commit；不声明业务算法已实现。
TODO-028,P1,Gate,CSE readiness gate 扩展,done,把路线护栏自动化，防止后续再次偏到父目录路线,新增检查：domain/rebar OCCT 泄漏、父目录 rebar 业务引用、todo 状态字段、报告存在；gate pass,tools + docs；不改业务功能,23_父目录源码参考边界与路线纠偏.md；46_CSE_v2Goal执行目标与Todo说明.md,TODO-018,门禁过强可能阻碍临时 spike,M2-Gate-001 已完成；RouteGuardrail 覆盖 OCCT/AIS 泄漏、父目录 rebar 业务引用、todo 状态和 done 节点报告；readiness 84/84 pass；不声明旧业务算法完成。
TODO-029,P2,M2-Edit-001,Rebar.Edit.Move 钢筋移动 P0,done,按旧 barmove / Input_Choice 证据实现领域层整体平移 P0,E-IDA-023 已确认 copyFlag=0 / translate_transf 链；RebarEditMoveService 通过单测；CTest pass；readiness gate pass；文档追溯完成,domain/rebar 只移动领域 DTO；不直接依赖 OCCT/AIS；不声明旧 ACIS topology mutation / dirty / undo / golden,E-IDA-004；E-IDA-023；E-DEV-049；E-DEV-051,TODO-021,完整旧移动行为仍依赖 dirty/undo/运行确认,M2-Edit-001 已完成；CTest 14/14 pass；readiness 84/84 pass；下一步进入 TODO-032。
TODO-032,P2,M2-Edit-002,Rebar.Edit.Copy 钢筋拷贝证据与 P0 切片,done,查明旧钢筋拷贝 copy flag、对象编号、引用关系和失败口径；证据足够时实现 P0 拷贝,IDA MCP 或旧图石运行确认拷贝链；新增业务测试；业务层不依赖 OCCT/AIS；CTest/readiness/xhigh/文档/commit/tag/push 闭合,只改 Rebar.Edit.Copy 相关 domain/rebar、必要 command handler、测试和文档；不进入统计、工程图、UI 新功能或 golden,E-DLG-384；E-IDA-023；E-IDA-024；E-DEV-052；03_IDA命令证据.md；08_开发命令契约.md；65_M2-Edit-001钢筋移动P0实现记录.md；66_M2-Edit-002钢筋拷贝P0实现记录.md,TODO-029,旧编号、binding、undo/dirty 和 ACIS topology clone 未完整闭合,M2-Edit-002 已完成；CTest 15/15 pass；readiness 84/84 pass；xhigh allow_commit；TODO-030 已完成统计 P0，下一步进入 TODO-031。
TODO-030,P2,M2-Stats,钢筋统计 / 下料表专项,done,复刻旧图石统计和下料表字段生成逻辑,StbTable/StbRow/MaterialTable 映射测试；Detail writer 对齐；运行证据补齐,domain + drawing/export；不碰几何内核,E-IDA-019；E-IDA-020；E-IDA-021；E-IDA-025；E-DEV-053；GAP-DRAW-004；13_Detail字段映射矩阵.md；61_M1-App-023DetailWriterP1实现记录.md；67_M2-Stats-001钢筋统计下料表P0实现记录.md,TODO-024,sameGrpNum 完整合并规则、singleMass 旧来源、Volume722 ACIS 等价和 AutoCAD/golden 未闭合,M2-Stats-001 已完成 P0；RebarScheduleService 接入 DetailWriter；CTest 16/16 pass；strict readiness 84/84 pass；xhigh 复审 allow_commit；commit/tag/push 待本轮提交。
TODO-031,P2,M2-Drawing-001,DetailWriter 多图纸 DetailNN P0,done,按旧图石 DetailNN 命名规则生成多图纸 Detail 包,E-IDA-026 确认 Detail01..Detail09 补零、Detail10+ 自然数字；DetailWriter 支持 views；多图纸 L0/L1；成功清理旧多余 DetailNN；失败恢复旧包；CTest/readiness/xhigh/文档/commit/tag/push 闭合,drawing/detail、detail_writer_tests、gate 映射和文档；不做剖切线/隐藏线/填充线；不声明 AutoCAD L2,E-IDA-026；E-DEV-054；05_Detail工程图包证据.md；13_Detail字段映射矩阵.md；20_DetailWriter输出事务契约.md；68_M2-Drawing-001DetailWriter多图纸P0实现记录.md,TODO-024;TODO-030,旧插件多图纸导入、Detail100 接受度、复杂工程图字段和 AutoCAD L2 未闭合,M2-Drawing-001 已完成 P0；CTest 16/16 pass；strict readiness 84/84 pass；xhigh allow_commit；不声明完整工程图、剖切线/隐藏线/填充线、AutoCAD L2 或 golden。
TODO-033,P2,M2-Drawing-002,AutoCAD L2 导入验证 P0,done,用新 Detail 包验证旧 AutoCAD 2020 + FDrawing 插件导入口径,生成一个最小多图纸 Detail 包；记录输出文件、hash、导入步骤、截图/日志、成功或失败原因；若无法自动验证则形成运行确认清单和 blocked/gap 证据；不改工程图算法,优先 docs/tools/test fixture；必要时只读调用旧插件或记录用户运行步骤；不进入剖切线/隐藏线/填充线算法；不采集 golden 全量,GAP-DRAW-001；GAP-DRAW-002；E-DEV-054；E-DEV-055；05_Detail工程图包证据.md；20_DetailWriter输出事务契约.md；68_M2-Drawing-001DetailWriter多图纸P0实现记录.md；69_M2-Drawing-002AutoCADL2导入验证P0实现记录.md,TODO-031,AutoCAD / FDrawing 插件环境可能需要人工操作；旧插件可能不接受当前字段或 Detail100,M2-Drawing-002 已完成 P0 验证准备和阻塞闭环；新增 detail_l2_fixture_probe 生成三图纸新 Detail 包并记录 hash；本机未发现 acad.exe / accoreconsole.exe，AutoCAD L2 自动导入未运行；CTest 17/17 pass；readiness 84/84 pass；不声明 AutoCAD L2 通过、完整工程图或 golden。
TODO-034,P2,M2-Drawing-003,Detail复杂字段静态证据 P0,done,在 AutoCAD L2 暂不可自动运行时，先补 DetailNN 复杂字段静态证据，明确哪些字段影响旧插件导入,从旧样例 Detail、FDrawing 静态字符串/IDA、05/13/20/69 文档整理 continue-line / hidden-line / section-line / hatch-line / Others / steeljoint-line 字段清单；不实现算法；形成实现记录和追溯更新,只改文档、轻量静态分析脚本或字段证据 fixture；不改 DetailWriter 业务算法；不进入 golden；不声明 AutoCAD L2 通过,GAP-DRAW-001；GAP-DRAW-002；GAP-DRAW-003；E-DETAIL-001；E-DETAIL-002；E-DEV-055；05_Detail工程图包证据.md；13_Detail字段映射矩阵.md；20_DetailWriter输出事务契约.md；69_M2-Drawing-002AutoCADL2导入验证P0实现记录.md,TODO-033,旧插件字段容忍度仍需 AutoCAD L2；静态证据不能替代运行确认,M2-Drawing-003 已完成静态复杂字段证据；新增 E-DETAIL-003 / E-IDA-027 / E-DEV-056；确认旧 Detail01.stl 中 continue-line / hidden-line / central-line / section-line / hatch-line / Others / steeljoint-line 容器、section Line/Arc、pointStb 和 FaceEdge 字段；IDA MCP 复核 FDrawing.arx 插件对象符号；不声明 AutoCAD L2 通过或工程图算法完成。
TODO-035,P2,M2-Drawing-004,DetailWriter复杂字段骨架 P0,done,让 DetailWriter 输出旧 DetailNN 复杂字段容器骨架和可追溯默认字段，但不实现剖切线/隐藏线/填充线算法,DetailWriter 已输出 continue-line / hidden-line / central-line / section-line / hatch-line / Others / steeljoint-line 容器骨架；已补 General-Info 扩展默认字段和 pointStb 字段骨架；测试覆盖空容器、默认值、pointStb、L2 不声明和既有失败回滚；CTest/readiness/OCCT泄漏/xhigh/文档/commit/tag/push 闭合；不声明 AutoCAD L2 通过,只改 drawing/detail writer、drawing tests、必要 DTO 和文档；未改钢筋创建业务；未实现 OCCT HLR/section 算法；未进入 golden；未把静态字段当完整工程图规则,E-DETAIL-003；E-IDA-027；E-DEV-056；E-DEV-057；05_Detail工程图包证据.md；13_Detail字段映射矩阵.md；20_DetailWriter输出事务契约.md；70_M2-Drawing-003Detail复杂字段静态证据P0实现记录.md；71_M2-Drawing-004DetailWriter复杂字段骨架P0实现记录.md,TODO-034,旧插件可能不接受空容器或默认字段；CompanyName 旧默认值、ZValue、FaceEdge、接头线语义未闭合；AutoCAD L2 仍需人工或外部环境验证,M2-Drawing-004 已完成；CTest 17/17 pass；readiness 84/84 pass；xhigh allow_commit；只输出字段骨架，不做剖切线/隐藏线/填充线/接头线真实算法。
TODO-036,P2,M2-Drawing-005,AutoCAD L2复杂字段骨架导入验证 P0,done,验证旧 AutoCAD 2020 + FDrawing 插件是否接受 TODO-035 的复杂字段骨架,已生成 TODO-036 复杂字段骨架包；已记录 AutoCAD/FDrawing 环境探测；复杂容器和 General-Info 离线检查通过；AutoCAD 环境未找到所以 L2 not_run；CTest/readiness/OCCT泄漏/xhigh/文档/commit/tag/push 闭合；不声明完整工程图算法,只改 AutoCAD L2 probe、文档、报告、追溯和 todo；不改钢筋创建业务；不实现剖切线/隐藏线/填充线/接头线算法；不进入 golden,E-DEV-055；E-DETAIL-003；E-DEV-057；E-DEV-058；05_Detail工程图包证据.md；20_DetailWriter输出事务契约.md；69_M2-Drawing-002AutoCADL2导入验证P0实现记录.md；70_M2-Drawing-003Detail复杂字段静态证据P0实现记录.md；71_M2-Drawing-004DetailWriter复杂字段骨架P0实现记录.md；72_M2-Drawing-005AutoCADL2复杂字段骨架导入验证P0实现记录.md,TODO-035,AutoCAD/FDrawing 自动环境不可用；旧插件接受度仍需人工运行确认；pointStb/FaceEdge 需独立干净变量专项,M2-Drawing-005 已完成 P0；detail_l2_fixture_probe 生成三图纸复杂骨架包；complexSkeleton.passed=true；fdrawingPlugin.status=ready；autocadEnvironment.status=not_found；autocadL2=not_run；不声明旧插件接受或完整工程图算法。
TODO-037,P2,M2-Drawing-006,DetailWriter pointStb / FaceEdge 兼容字段骨架 P0,done,把 TODO-036 中拆出的 pointStb / FaceEdge 做成独立干净变量字段骨架专项,已覆盖 pointStb StbGeo shapeType=C 与 FaceEdge L/A 字段骨架；已补测试；已生成独立 probe/report；CTest/readiness/OCCT泄漏通过；xhigh/文档/commit/tag/push 闭合后完成,只改 DetailWriter 字段骨架、probe/tests/docs；不实现点筋真实算法、FaceEdge 生成规则、剖切线/隐藏线/填充线/接头线算法；不进入 golden,E-DETAIL-003；E-DEV-056；E-DEV-057；E-DEV-058；E-DEV-059；72_M2-Drawing-005AutoCADL2复杂字段骨架导入验证P0实现记录.md；73_M2-Drawing-006DetailWriter点筋FaceEdge字段骨架P0实现记录.md,TODO-036,pointStb/FaceEdge 旧语义和旧插件容忍度未闭合；样式表/下料表/详图三边一致性需要单独控制,M2-Drawing-006 已完成 P0；DetailWriter 可输出 pointStb StbGeo shapeType=C 和显式 FaceEdge L/A 字段骨架；pointFaceEdge.passed=true；autocadL2=not_run；不声明旧插件接受、点筋算法、FaceEdge 生成规则或完整工程图算法。
TODO-038,P2,M2-Drawing-007,DetailWriter section-line Line/Arc/ZValue 字段骨架 P0,done,把旧 Detail section-line 中 LineN / ArcN / ZValue 字段做成独立干净变量字段骨架专项,已覆盖 PartDetailDrawing/section-line/lines/LineN 和 Arcs/ArcN 字段骨架；补测试；生成独立 probe/report；CTest/readiness/OCCT泄漏/xhigh/文档/commit/tag/push 闭合；不声明剖切算法或 AutoCAD L2 通过,只改 DetailWriter section-line 字段骨架、probe/tests/docs；不实现真实剖切/隐藏线/填充线/接头线算法；不进入 golden,E-DETAIL-003；E-DEV-056；E-DEV-060；73_M2-Drawing-006DetailWriter点筋FaceEdge字段骨架P0实现记录.md；74_M2-Drawing-007DetailWriter剖切线字段骨架P0实现记录.md,TODO-037,ZValue 语义、section-line 生成规则和旧插件容忍度未闭合,M2-Drawing-007 已完成字段骨架；只做旧样例确认字段的显式 fixture，不做 OCCT 剖切算法。
TODO-039,P2,M2-Drawing-008,DetailWriter section-line AutoCAD L2 运行确认准备 P0,done,把 TODO-038 section-line 独立包转成 AutoCAD L2 手工或自动运行确认准备项,已生成 section-line L2 运行确认清单；已记录 AutoCAD/FDrawing 环境探测；本机无法运行所以明确 autocadL2=not_run；CTest/readiness/OCCT泄漏/xhigh/文档/commit/tag/push 闭合；没有真实运行证据不得声明 L2 通过,只改 L2 probe/report/docs/todo 必要脚本；不实现真实剖切/隐藏线/填充线/接头线算法；不进入 golden,E-DEV-060；E-DEV-061；GAP-DRAW-001；GAP-DRAW-002；74_M2-Drawing-007DetailWriter剖切线字段骨架P0实现记录.md；75_M2-Drawing-008DetailWriterSectionLineAutoCADL2运行确认准备P0实现记录.md,TODO-038,AutoCAD 环境可能不可用；旧插件接受度需要真实运行证据,M2-Drawing-008 已完成 L2 运行确认准备；本机 AutoCAD 环境仍 not_found，所以只记录 not_run 不写 pass。
TODO-040,P2,M2-Drawing-009,DetailWriter continue-line / hidden-line / central-line / hatch-line 线容器字段骨架 P0,done,把旧 Detail 样例中线类容器的 LineN 字段做成独立干净变量字段骨架专项,已覆盖 continue-line / hidden-line / central-line / hatch-line 下 LineN 字段骨架；已补测试；已生成独立 line-containers probe/report；CTest/readiness/OCCT泄漏通过；xhigh/文档/commit/tag/push 闭合后完成；不声明真实隐藏线/填充线算法或 AutoCAD L2 通过,只改 DetailWriter 线容器字段骨架、probe/tests/docs；不实现真实隐藏线/填充线/剖切线/接头线算法；不进入 golden,E-DETAIL-003；E-DEV-061；E-DEV-062；75_M2-Drawing-008DetailWriterSectionLineAutoCADL2运行确认准备P0实现记录.md；76_M2-Drawing-009DetailWriter线容器字段骨架P0实现记录.md,TODO-039,旧插件字段容忍度和真实线生成规则未闭合,M2-Drawing-009 已完成字段骨架；lineContainers.passed=true；autocadL2=not_run；不声明旧插件接受或真实线算法。
TODO-041,P2,M2-Drawing-010,DetailWriter line-containers AutoCAD L2 运行确认准备 P0,done,把 TODO-040 line-containers 独立包转成 AutoCAD L2 手工或自动运行确认准备项,已生成 line-containers L2 运行确认清单；已记录 AutoCAD/FDrawing 环境探测；本机无法运行所以明确 autocadL2=not_run；CTest/readiness/OCCT泄漏/xhigh/文档/commit/tag/push 闭合后完成；没有真实运行证据不得声明 L2 通过,只改 L2 probe/report/docs/todo 必要脚本；不实现真实连续线/隐藏线/中心线/填充线/剖切线/接头线算法；不进入 golden,E-DEV-062；E-DEV-063；GAP-DRAW-001；GAP-DRAW-002；76_M2-Drawing-009DetailWriter线容器字段骨架P0实现记录.md；77_M2-Drawing-010DetailWriter线容器AutoCADL2运行确认准备P0实现记录.md,TODO-040,AutoCAD 环境可能不可用；旧插件接受度需要真实运行证据,M2-Drawing-010 已完成 L2 运行确认准备；本机 AutoCAD 环境仍 not_found，所以只记录 not_run 不写 pass。
TODO-042,P2,M2-Drawing-011,DetailWriter pointStb / FaceEdge AutoCAD L2 运行确认准备 P0,done,把 TODO-037 pointStb / FaceEdge 独立包转成 AutoCAD L2 手工或自动运行确认准备项,已生成 pointStb / FaceEdge L2 运行确认清单；已记录 AutoCAD/FDrawing 环境探测；本机无法运行所以明确 autocadL2=not_run；CTest/readiness/OCCT泄漏/xhigh/文档/commit/tag/push 闭合后完成；没有真实运行证据不得声明 L2 通过,只改 L2 probe/report/docs/todo 必要脚本；不实现点筋真实算法/FaceEdge生成规则/剖切线/隐藏线/填充线/接头线算法；不进入 golden,E-DEV-059；E-DEV-064；GAP-DRAW-001；GAP-DRAW-002；73_M2-Drawing-006DetailWriter点筋FaceEdge字段骨架P0实现记录.md；77_M2-Drawing-010DetailWriter线容器AutoCADL2运行确认准备P0实现记录.md；78_M2-Drawing-011DetailWriter点筋FaceEdgeAutoCADL2运行确认准备P0实现记录.md,TODO-037;TODO-041,AutoCAD 环境可能不可用；旧插件接受度需要真实运行证据,M2-Drawing-011 已完成 L2 运行确认准备；本机 AutoCAD 环境仍 not_found，所以只记录 not_run 不写 pass。
TODO-043,P2,M2-Drawing-012,DetailWriter Others / steeljoint-line 字段骨架 P0,done,把旧 Detail 样例中 Others / steeljoint-line 容器做成独立干净变量字段骨架专项,已输出 Others 空容器和 steeljoint-line / joints 字段骨架；已补测试；已生成独立 others-steeljoint probe/report；CTest/readiness/OCCT泄漏/xhigh/文档/commit/tag/push 闭合后完成；不声明真实接头线/其他几何算法或 AutoCAD L2 通过,只改 DetailWriter 字段骨架、probe/tests/docs；不实现真实接头线/其他几何算法；不进入 golden,E-DETAIL-003；E-DEV-056；E-DEV-065；70_M2-Drawing-003Detail复杂字段静态证据P0实现记录.md；71_M2-Drawing-004DetailWriter复杂字段骨架P0实现记录.md；79_M2-Drawing-012DetailWriterOthersSteeljoint字段骨架P0实现记录.md,TODO-042,旧样例 Others 为空；steeljoint-line 仅确认 joints 容器存在；生成规则未闭合,M2-Drawing-012 已完成字段骨架；othersSteeljoint.passed=true；autocadL2=not_run；不声明旧插件接受、真实接头线算法、Others 几何算法或完整工程图算法。
TODO-044,P2,M2-Drawing-013,DetailWriter Others / steeljoint-line AutoCAD L2 运行确认准备 P0,done,把 TODO-043 others-steeljoint 独立包转成 AutoCAD L2 手工或自动运行确认准备项,生成 Others / steeljoint-line L2 运行确认清单；记录 AutoCAD/FDrawing 环境探测、文件 hash、包摘要和阻塞状态；CTest/readiness/OCCT泄漏/xhigh/文档/commit/tag/push 闭合；没有真实运行证据不得声明 L2 通过,只改 L2 probe/report/docs/todo 必要脚本；不实现真实接头线/Others几何算法；不进入 golden,E-DEV-065；E-DEV-066；GAP-DRAW-001；GAP-DRAW-002；79_M2-Drawing-012DetailWriterOthersSteeljoint字段骨架P0实现记录.md；80_M2-Drawing-013DetailWriterOthersSteeljointAutoCADL2运行确认准备P0实现记录.md,TODO-043,AutoCAD 环境可能不可用；旧插件接受度需要真实运行证据,M2-Drawing-013 已完成 L2 运行确认准备；othersSteeljoint.passed=true；autocadL2=not_run；不声明旧插件接受、真实接头线算法、Others 几何算法或完整工程图算法。
